ID,item_cnt_month
0,0.47234893
1,0.3677395
2,1.1407684
3,0.29782125
4,0.38899797
5,0.63368475
6,0.9406346
7,0.14099355
8,0.9379966
9,0.75746834
10,2.4830132
11,0.0
12,0.0
13,0.28804064
14,1.4066564
15,3.0959451
16,0.08536953
17,0.021863952
18,1.6147145
19,0.1663444
20,0.579989
21,0.39216107
22,1.372766
23,0.8580015
24,1.7242789
25,0.5184448
26,0.36341467
27,0.38694495
28,1.183419
29,4.0168242
30,0.5697452
31,0.31552815
32,0.4854037
33,0.6884116
34,0.073129356
35,0.08461639
36,0.10296947
37,0.62920225
38,0.25542352
39,0.1416651
40,0.7684201
41,0.7851318
42,2.8555315
43,3.352895
44,0.52735656
45,0.33693418
46,0.9108721
47,0.14782085
48,0.2571549
49,1.2769973
50,1.4337617
51,0.33518258
52,0.6170982
53,0.2651822
54,4.9476333
55,2.2254543
56,2.0616052
57,1.8106035
58,4.8791
59,4.0882707
60,4.6530366
61,0.559302
62,0.40669626
63,0.6309382
64,0.3424406
65,0.36735672
66,0.68603206
67,0.09455028
68,0.40950733
69,0.07309489
70,0.36736393
71,2.308845
72,0.6478007
73,0.8810483
74,0.35856834
75,0.38859087
76,0.44242862
77,0.34241152
78,0.17462574
79,0.66234785
80,1.1139128
81,3.0064645
82,0.52408946
83,0.20221272
84,0.775751
85,1.1537398
86,0.41762072
87,0.0
88,2.8189065
89,1.49979
90,1.1105784
91,0.70666337
92,2.018521
93,0.23591027
94,0.61853707
95,0.09361613
96,0.061368138
97,0.37461072
98,0.6072891
99,1.6308429
100,1.8658845
101,1.447794
102,0.31613293
103,1.2509505
104,0.14509992
105,0.44013482
106,0.36225408
107,1.0157926
108,0.0
109,0.36744714
110,0.2786787
111,0.42427206
112,0.39822823
113,0.5014074
114,0.24949941
115,0.32617232
116,0.38281226
117,0.0
118,7.4489675
119,0.07950279
120,0.02238372
121,0.010653734
122,0.419844
123,0.66397023
124,0.5451261
125,1.3416408
126,0.3675721
127,0.067957476
128,0.31318396
129,0.015451103
130,0.4121505
131,0.10926017
132,1.6280694
133,6.5012274
134,0.017581493
135,1.1213467
136,0.33271426
137,0.2694116
138,1.3952506
139,0.35315365
140,0.16249734
141,0.59009683
142,0.0
143,0.37328738
144,0.3375899
145,0.3375901
146,0.33759034
147,0.024672449
148,0.36852086
149,0.039874524
150,0.0
151,0.4107733
152,8.668345
153,0.16324411
154,0.0
155,0.10296169
156,0.107185215
157,0.23478056
158,0.0
159,0.5284536
160,0.59482634
161,0.042596787
162,0.45698413
163,0.72817755
164,0.3055876
165,0.0
166,0.65863615
167,0.0
168,0.36893427
169,0.0
170,0.05049336
171,0.26874903
172,0.32624528
173,2.2503715
174,2.4228451
175,3.7647629
176,1.5259598
177,0.36997277
178,0.45359746
179,0.09894025
180,2.0334163
181,0.45669404
182,0.056470454
183,0.03550227
184,0.0032877326
185,0.21848446
186,0.09811352
187,0.1313503
188,0.36840376
189,0.36840355
190,0.16190922
191,0.48111632
192,0.9672972
193,0.29310083
194,0.0850845
195,0.17948423
196,0.530144
197,3.1118867
198,1.5868604
199,0.38931772
200,0.3392498
201,0.38931838
202,0.022876263
203,1.2592032
204,0.121687934
205,0.38742268
206,0.387341
207,0.1970326
208,1.5708245
209,0.5378361
210,0.13922052
211,0.067575485
212,0.09025982
213,0.55868435
214,0.102072746
215,0.31001377
216,0.52851677
217,0.16234116
218,1.3582385
219,0.65222204
220,0.4899358
221,0.34314185
222,0.38954818
223,0.93614304
224,2.5052156
225,0.32114032
226,0.65186465
227,0.16857213
228,0.23303476
229,0.25715435
230,0.35954335
231,0.5673771
232,0.09470789
233,0.3903625
234,0.05693388
235,0.09401655
236,0.32190847
237,0.49911988
238,0.5389626
239,0.7570281
240,0.89012885
241,0.028050601
242,0.09876992
243,0.35693192
244,0.36796165
245,0.11029197
246,1.8883787
247,0.6358957
248,0.5914668
249,0.06065114
250,0.9613335
251,0.30921355
252,0.3389317
253,1.0113173
254,0.35514745
255,8.516449
256,0.49800697
257,0.14903894
258,0.48023313
259,0.099286556
260,0.0929869
261,0.0
262,0.2282407
263,0.043676957
264,0.05649963
265,0.5900141
266,0.0
267,0.20902479
268,0.39328313
269,0.018891394
270,1.4696639
271,0.10322344
272,0.01267457
273,1.1362513
274,12.33241
275,0.2403599
276,0.37697476
277,1.4717014
278,0.28626052
279,0.36300266
280,0.14728406
281,0.054496944
282,0.0
